"id","name","code","nomenclature","level","version","tunit_code","tunit_name","processes","sources","y_2006","y_2014"
"1059","Total waste generation, excluding major mineral wastes","WAS","NUTS","2","2013","AL01","Veri","a-Regional indicators are estimated by the regionalisation methodology. The regionalisation method is based on an econometric approach that identifies, estimates and optimise the best predictive parameters for each selected indicator. In particular, it is constituted by 6 different stages: (1) OLS model estimation, (2) predictors optimisation, (3) regional extrapolation, (4) geographically weighted regression analysis, (5) consistency check and (6) data validation.","1-CIRCTER - Circular Economy and Territorial Consequences : https://www.espon.eu/circular-economy","",""
"1059","Total waste generation, excluding major mineral wastes","WAS","NUTS","2","2013","AL02","Qender","a-Regional indicators are estimated by the regionalisation methodology. The regionalisation method is based on an econometric approach that identifies, estimates and optimise the best predictive parameters for each selected indicator. In particular, it is constituted by 6 different stages: (1) OLS model estimation, (2) predictors optimisation, (3) regional extrapolation, (4) geographically weighted regression analysis, (5) consistency check and (6) data validation.","1-CIRCTER - Circular Economy and Territorial Consequences : https://www.espon.eu/circular-economy","",""
"1059","Total waste generation, excluding major mineral wastes","WAS","NUTS","2","2013","AL03","Jug","a-Regional indicators are estimated by the regionalisation methodology. The regionalisation method is based on an econometric approach that identifies, estimates and optimise the best predictive parameters for each selected indicator. In particular, it is constituted by 6 different stages: (1) OLS model estimation, (2) predictors optimisation, (3) regional extrapolation, (4) geographically weighted regression analysis, (5) consistency check and (6) data validation.","1-CIRCTER - Circular Economy and Territorial Consequences : https://www.espon.eu/circular-economy","",""
"1059","Total waste generation, excluding major mineral wastes","WAS","NUTS","2","2013","AT11","Burgenland (AT)","a-Regional indicators are estimated by the regionalisation methodology. The regionalisation method is based on an econometric approach that identifies, estimates and optimise the best predictive parameters for each selected indicator. In particular, it is constituted by 6 different stages: (1) OLS model estimation, (2) predictors optimisation, (3) regional extrapolation, (4) geographically weighted regression analysis, (5) consistency check and (6) data validation.","1-CIRCTER - Circular Economy and Territorial Consequences : https://www.espon.eu/circular-economy","591935.0","487320.0"
"1059","Total waste generation, excluding major mineral wastes","WAS","NUTS","2","2013","AT12","Niederosterreich","a-Regional indicators are estimated by the regionalisation methodology. The regionalisation method is based on an econometric approach that identifies, estimates and optimise the best predictive parameters for each selected indicator. In particular, it is constituted by 6 different stages: (1) OLS model estimation, (2) predictors optimisation, (3) regional extrapolation, (4) geographically weighted regression analysis, (5) consistency check and (6) data validation.","1-CIRCTER - Circular Economy and Territorial Consequences : https://www.espon.eu/circular-economy","4827119.0","2807950.0"
"1059","Total waste generation, excluding major mineral wastes","WAS","NUTS","2","2013","AT13","Wien","a-Regional indicators are estimated by the regionalisation methodology. The regionalisation method is based on an econometric approach that identifies, estimates and optimise the best predictive parameters for each selected indicator. In particular, it is constituted by 6 different stages: (1) OLS model estimation, (2) predictors optimisation, (3) regional extrapolation, (4) geographically weighted regression analysis, (5) consistency check and (6) data validation.","1-CIRCTER - Circular Economy and Territorial Consequences : https://www.espon.eu/circular-economy","4040276.0","3211003.0"
"1059","Total waste generation, excluding major mineral wastes","WAS","NUTS","2","2013","AT21","Karnten","a-Regional indicators are estimated by the regionalisation methodology. The regionalisation method is based on an econometric approach that identifies, estimates and optimise the best predictive parameters for each selected indicator. In particular, it is constituted by 6 different stages: (1) OLS model estimation, (2) predictors optimisation, (3) regional extrapolation, (4) geographically weighted regression analysis, (5) consistency check and (6) data validation.","1-CIRCTER - Circular Economy and Territorial Consequences : https://www.espon.eu/circular-economy","1385794.0","987381.0"
"1059","Total waste generation, excluding major mineral wastes","WAS","NUTS","2","2013","AT22","Steiermark","a-Regional indicators are estimated by the regionalisation methodology. The regionalisation method is based on an econometric approach that identifies, estimates and optimise the best predictive parameters for each selected indicator. In particular, it is constituted by 6 different stages: (1) OLS model estimation, (2) predictors optimisation, (3) regional extrapolation, (4) geographically weighted regression analysis, (5) consistency check and (6) data validation.","1-CIRCTER - Circular Economy and Territorial Consequences : https://www.espon.eu/circular-economy","3423357.0","2263313.0"
"1059","Total waste generation, excluding major mineral wastes","WAS","NUTS","2","2013","AT31","Oberosterreich","a-Regional indicators are estimated by the regionalisation methodology. The regionalisation method is based on an econometric approach that identifies, estimates and optimise the best predictive parameters for each selected indicator. In particular, it is constituted by 6 different stages: (1) OLS model estimation, (2) predictors optimisation, (3) regional extrapolation, (4) geographically weighted regression analysis, (5) consistency check and (6) data validation.","1-CIRCTER - Circular Economy and Territorial Consequences : https://www.espon.eu/circular-economy","4354821.0","2646911.0"
"1059","Total waste generation, excluding major mineral wastes","WAS","NUTS","2","2013","AT32","Salzburg","a-Regional indicators are estimated by the regionalisation methodology. The regionalisation method is based on an econometric approach that identifies, estimates and optimise the best predictive parameters for each selected indicator. In particular, it is constituted by 6 different stages: (1) OLS model estimation, (2) predictors optimisation, (3) regional extrapolation, (4) geographically weighted regression analysis, (5) consistency check and (6) data validation.","1-CIRCTER - Circular Economy and Territorial Consequences : https://www.espon.eu/circular-economy","1348808.0","1106533.0"
